year,fire_number,fire_start_date,start_month,start_doy,latitude,longitude,fire_origin,general_cause,grid_id_30000m
2020,LWF064,2020-05-15 14:15:00,5.0,136.0,55.929466,-110.738365,Indian Reservation,Resident,"169,79"
2020,GWF016,2020-05-28 20:20:00,5.0,149.0,55.490551,-118.388,Provincial Land,Incendiary,"153,83"
2020,SWF031,2020-06-02 13:05:00,6.0,154.0,55.914551,-113.92865,Indian Reservation,Power Line Industry,"163,81"
2020,HWF018,2020-05-26 23:24:00,5.0,147.0,58.159634,-116.269783,Private Land,Resident,"161,90"
2020,RWF028,2020-05-30 11:21:00,5.0,151.0,52.908718,-115.371101,Provincial Land,Power Line Industry,"156,72"
2020,RWF029,2020-05-29 19:23:00,5.0,150.0,52.685966,-115.122284,Provincial Land,Incendiary,"156,71"
2020,SWF034,2020-06-11 14:54:00,6.0,163.0,57.165817,-114.748917,Provincial Land,Lightning,"163,86"
2020,LWF007,2020-04-22 16:00:00,4.0,113.0,54.859283,-111.912216,Private Land,Resident,"165,76"
2020,LWF008,2020-04-23 10:30:00,4.0,114.0,54.701599,-111.84362,Indian Reservation,Resident,"165,75"
2020,CWF002,2020-04-26 12:00:00,4.0,117.0,51.402817,-115.071732,Provincial Land,Recreation,"154,66"
2020,CWF003,2020-04-26 12:00:00,4.0,117.0,51.402901,-115.072166,Provincial Land,Recreation,"154,66"
2020,CWF004,2020-04-26 12:00:00,4.0,117.0,51.368198,-114.991699,Provincial Land,Recreation,"155,66"
2020,HWF002,2020-04-27 13:00:00,4.0,118.0,58.48008,-114.519943,Indian Reservation,Incendiary,"165,90"
2020,GWF005,2020-01-15 13:00:00,1.0,15.0,55.82148,-119.141281,Private Land,Resident,"153,84"
2020,RWF006,2020-04-28 07:30:00,4.0,119.0,52.732285,-115.533295,Provincial Land,Forest Industry,"155,71"
2020,RWF007,2020-04-29 10:30:00,4.0,120.0,52.378632,-115.215302,Provincial Land,Oil & Gas Industry,"155,70"
2020,SWF007,2020-04-29 11:24:00,4.0,120.0,55.893044,-115.643631,Indian Reservation,Resident,"159,82"
2020,SWF008,2020-04-29 18:00:00,4.0,120.0,55.421494,-116.109673,Indian Reservation,Undetermined,"158,81"
