system:index,grid_m,lat,lon,month,s1_scenes_in_month,slope_max_deg,vv_db_thresh,water_frac,x_idx,y_idx,year,ym,.geo
0_0,30000,49.18022767009991,-117.31480495663298,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,30000,49.284646140761865,-116.93460285017092,1,99,10,-17,0.05994445144907482,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,30000,49.38760957074548,-116.5525010802803,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,30000,49.21421301288176,-118.23446576361728,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,30000,49.428828209113526,-117.47615002147718,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,30000,49.53396897725848,-117.09406857632294,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,30000,49.63764742530981,-116.71005494498901,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,30000,49.739850320366976,-116.3241226397088,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,30000,49.46128713174212,-118.40144071980905,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,30000,49.570055481237304,-118.02143560882614,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,30000,49.67738129258726,-117.63944020570969,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,30000,49.783250997210715,-117.25546660422468,1,99,10,-17,0.0398455863858745,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,30000,49.887651095363516,-116.8695276003889,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,30000,49.99056816130502,-116.48163670037009,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,30000,49.70829163092027,-118.57041748216366,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,30000,49.81780963922117,-118.1885751638864,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,30000,49.92587820738716,-117.80470870536384,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,30000,50.032483572308095,-117.41883015284704,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,30000,50.065491966951875,-118.35773897757556,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,30000,52.10159673710142,-117.40815455704802,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,30000,52.20734520139947,-116.99963638331744,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,30000,52.311505756254896,-116.58891787321416,1,99,10,-17,0.06721407823357226,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,30000,52.41406362710366,-116.17601572764892,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,30000,52.352439512601634,-117.58226888824623,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24,30000,52.458950151741966,-117.1715837603088,1,99,10,-17,0.042742762849070956,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25,30000,52.56386468909943,-116.75865779499183,1,99,10,-17,0.0012669100793040885,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,30000,52.66716811913094,-116.34350769123394,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27,30000,52.60317135958741,-117.7586399806141,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28,30000,52.71045173248939,-117.34577212936695,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29,30000,52.81612780426741,-116.93062201161017,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30,30000,53.415647481881564,-114.39279613532302,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,30000,53.60197441351149,-113.5294665635097,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32,30000,52.2898535717501,-119.97725550517926,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,30000,52.405738840261776,-119.57402864063553,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34,30000,52.85378245083254,-117.9373092308009,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35,30000,52.96184022206535,-117.522242923646,1,99,10,-17,0.01884656690136314,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,30000,53.06828548764293,-117.10485196858394,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37,30000,52.65300127031511,-119.7634629346544,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,30000,52.99381495113538,-118.53321579118975,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39,30000,53.21310573584495,-117.70103852867418,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_40,30000,52.90009134683862,-119.95533376849434,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41,30000,53.13050779314373,-119.13343464452662,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_42,30000,53.243353374368105,-118.7187948110295,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_43,30000,53.35460222981132,-118.30171251915094,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44,30000,53.26382002930297,-119.73790472317289,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_45,30000,53.37907028660024,-119.32361111319389,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_46,30000,53.4927325704762,-118.9068164559419,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_47,30000,53.51137236821777,-119.93270456841087,1,99,10,-17,0.0,0,0,2023,2023-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
