system:index,aspect_deg,cape_max,cell_id,d2m_mean_K,elev_m,end_date,et_flux_mean,gust_max_mps,lat,lon,rain_mmhr_max,slope_deg,sm_rootzone_mean,sm_rootzone_min,sm_surface_mean,sm_surface_min,smap_surface_temp_mean,sp_mean_Pa,start_date,storm_hours_cape500,storm_hours_gust20,storm_hours_rain5,storm_score,t2m_mean_K,tp_sum_m,water_perm_frac,water_season_frac,wind10_mean_mps,.geo
"0_162,53",104.0,3.875,"162,53",257.02997788928803,835.0,2025-01-07,8.463454719276342E-7,11.159820556640625,48.85713850564194,-110.16443226016517,0.591278076171875,0.0,0.2739337384700775,0.2738650441169739,0.2506897449493408,0.24918851256370544,261.3269348144531,92000.32840401784,2025-01-01,0.0,0.0,0.0,0.40349542236328123,259.93105098179404,0.009128513334133004,0.0,1.0,1.2612993089692073,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_163,53",182.0,1.875,"163,53",256.71144994099933,875.0,2025-01-07,4.180410257959011E-7,11.579907417297363,48.93284753459777,-109.77191398828741,0.48732757568359375,0.0,0.2734319865703583,0.2732747793197632,0.24959595501422882,0.2460680902004242,259.1634826660156,92074.04268973214,2025-01-01,0.0,0.0,0.0,0.41130079269409175,259.81487928118025,0.009157467221655224,0.0,1.0,1.2445709381367553,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_159,54",,,"159,54",,,2025-01-07,,,48.87753331814344,-111.4565006150043,,,,,,,,,2025-01-01,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_160,54",20.0,7.375,"160,54",257.5144538879395,1023.0,2025-01-07,9.420687661076954E-7,9.757153511047363,48.95849510167123,-111.06618351004443,0.5593299865722656,0.0,0.25407326221466064,0.2538783848285675,0.2322683036327362,0.22984781861305237,260.43780517578125,90405.66471354166,2025-01-01,0.0,0.0,0.0,0.35689244969685874,259.96282559349424,0.009371442308463429,0.0,1.0,0.5234752396367947,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_161,54",71.0,5.375,"161,54",257.3423209417434,966.0,2025-01-07,5.621538434752438E-7,10.599926948547363,49.03789741720161,-110.67436916159913,0.5507469177246094,0.0,0.27919885516166687,0.27915722131729126,0.2606349289417267,0.2583717703819275,259.7065734863281,91159.86672247024,2025-01-01,0.0,0.0,0.0,0.3835557441711426,259.933232262021,0.009437908006646012,0.0,1.0,0.8086380399424752,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_162,54",167.0,3.125,"162,54",257.02997788928803,875.0,2025-01-07,3.7498918459277775E-7,11.552075386047363,49.115729727460725,-110.28107884296982,0.5230903625488281,0.0,0.28574541211128235,0.28566423058509827,0.2661689817905426,0.263152152299881,259.4764404296875,92000.32840401784,2025-01-01,0.0,0.0,0.0,0.4127861976623535,259.93105098179404,0.009128513334133004,0.0,1.0,1.2612993089692073,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_163,54",164.0,2.0,"163,54",256.71144994099933,1004.0,2025-01-07,4.180410257959011E-7,10.930493354797363,49.19198163868667,-109.88633443942238,0.5016326904296875,0.0,0.2734319865703583,0.2732747793197632,0.24959595501422882,0.2460680902004242,259.1634826660156,92074.04268973214,2025-01-01,0.0,0.0,0.0,0.39043141301472983,259.81487928118025,0.009157467221655224,0.0,1.0,1.2445709381367553,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_156,55",,,"156,55",,,2025-01-07,,,48.880604389356584,-112.74929183539409,,,,,,,,,2025-01-01,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_157,55",61.0,22.125,"157,55",258.01044082641596,1199.0,2025-01-07,5.112107146487688E-7,8.462271690368652,48.96678435488473,-112.36150207451075,0.6251335144042969,0.0,0.21223653852939606,0.21179084479808807,0.1773257553577423,0.1734650433063507,261.5158996582031,88840.88346354166,2025-01-01,0.0,0.0,0.0,0.3243948987325032,260.55608949207124,0.009273964499868725,1.0,0.0,0.4794972383337343,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_158,55",35.0,20.0,"158,55",257.5794490632557,1024.0,2025-01-07,7.124761509658128E-7,7.980993747711182,49.05142836016372,-111.9721272745669,0.5769729614257812,0.0,0.22045128047466278,0.2202359139919281,0.18800044059753418,0.18561047315597534,261.3858337402344,90230.70340401786,2025-01-01,0.0,0.0,0.0,0.30488177299499514,260.0938470023019,0.009112780501880025,1.0,0.0,0.6627249981053969,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_159,55",357.0,10.875,"159,55",257.3833060491653,1075.0,2025-01-07,9.187464797832945E-7,7.459255695343018,49.13452529733693,-111.5811870586514,0.5178451538085938,0.0,0.2248629778623581,0.22457373142242432,0.19124892354011536,0.18624676764011383,261.17706298828125,90148.40950520834,2025-01-01,0.0,0.0,0.0,0.27997161420186356,259.8590745471773,0.009113204253651475,1.0,0.0,0.7283190509217138,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_160,55",25.0,7.75,"160,55",257.5144538879395,924.0,2025-01-07,1.0676528745534597E-6,9.34083366394043,49.21606418856794,-111.18870168098316,0.5321502685546875,0.0,0.2464369386434555,0.24623754620552063,0.21853239834308624,0.21461252868175507,260.8689880371094,90405.66471354166,2025-01-01,0.0,0.0,0.0,0.34184363555908204,259.96282559349424,0.009371442308463429,0.0,0.0,0.5234752396367947,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_161,55",261.0,5.5,"161,55",256.7249663216727,916.0,2025-01-07,5.593915943791217E-7,12.484692573547363,49.296034190908216,-110.79469202681744,0.4982948303222656,0.0,0.2363702952861786,0.2362804263830185,0.2058761864900589,0.20288103818893433,259.3519287109375,90884.39834449405,2025-01-01,0.0,0.0,0.0,0.4438211606343587,259.0622569492885,0.008565960971452569,0.0,1.0,1.5211479900412426,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_162,55",214.0,4.25,"162,55",256.2904228937058,1039.0,2025-01-07,2.0134430656071345E-7,12.718579292297363,49.374424601188196,-110.39917961180855,0.48160552978515625,0.0,0.25249263644218445,0.2524664103984833,0.2270658016204834,0.2250465750694275,258.6248474121094,89615.412109375,2025-01-01,0.0,0.0,0.0,0.45015791956583656,258.5041296822684,0.008767949005402897,0.0,1.0,1.0904525125945796,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_163,55",164.0,2.0,"163,55",255.8354908171154,1004.0,2025-01-07,2.61530516354469E-7,12.808476448059082,49.451224860902244,-110.00218658082646,0.4138946533203125,0.0,0.2566887140274048,0.2566317617893219,0.23015530407428741,0.2283060997724533,258.4481201171875,89831.95414806549,2025-01-01,0.0,0.0,0.0,0.44864394760131837,258.1975348336356,0.009020651278831338,1.0,0.0,0.604682039533932,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_153,56",,,"153,56",,,2025-01-07,,,48.866347320556805,-114.04173840144959,,,,,,,,,2025-01-01,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_154,56",,,"154,56",,,2025-01-07,,,48.95770338588071,-113.65679615304515,,,,,,,,,2025-01-01,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_155,56",28.0,3.875,"155,56",260.1729534694127,1314.0,2025-01-07,6.87133990595612E-7,13.442740440368652,49.04754910212765,-113.27018501694765,0.8368492126464844,1.0,0.23309700191020966,0.232928067445755,0.20648087561130524,0.20309840142726898,262.012451171875,85844.88309151786,2025-01-01,0.0,0.0,0.0,0.4918713086446126,262.81949324834915,0.010103806441463803,1.0,0.0,0.4648508362239217,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_156,56",18.0,9.5,"156,56",259.2841936747233,1318.0,2025-01-07,4.1051146126847016E-7,9.413443565368652,49.135872826904524,-112.88192286753036,0.5526542663574219,0.0,0.2240435779094696,0.22376899421215057,0.19474169611930847,0.1906430721282959,261.6965026855469,86946.53562127975,2025-01-01,0.0,0.0,0.0,0.34616416549682616,262.25238436744326,0.009175585171021794,1.0,0.0,0.6485016735564391,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_157,56",34.0,19.5,"157,56",258.54948516119094,1087.0,2025-01-07,5.112107146487688E-7,8.329459190368652,49.22266303372265,-112.49202822423358,0.5559921264648438,0.0,0.21223653852939606,0.21179084479808807,0.1773257553577423,0.1734650433063507,261.5158996582031,88065.10890997024,2025-01-01,0.0,0.0,0.0,0.31519824600219726,261.4214059738886,0.009103832354583119,1.0,0.0,0.5699761111956733,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_158,56",45.0,19.125,"158,56",257.7668037414551,992.0,2025-01-07,8.733429126550618E-7,7.775748252868652,49.30790831693166,-112.10052025324502,0.537872314453125,0.0,0.2156972885131836,0.21557217836380005,0.17705614864826202,0.1745680570602417,261.6038513183594,91079.53190104167,2025-01-01,0.0,0.0,0.0,0.2956477241516113,260.4741846720377,0.00797352805528817,0.0,1.0,0.7339247018877212,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_159,56",4.0,15.0,"159,56",257.4929898579916,933.0,2025-01-07,1.0582281220195E-6,8.095084190368652,49.3915973966947,-111.70741876861145,0.47779083251953125,0.0,0.22558408975601196,0.22533302009105682,0.19226616621017456,0.1889573186635971,260.9770202636719,91643.04008556549,2025-01-01,0.0,0.0,0.0,0.30122568130493166,260.2814705258324,0.008018239920772885,1.0,0.0,0.7640508700028956,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_160,56",25.0,16.5,"160,56",257.25539815993534,924.0,2025-01-07,9.371171927341493E-7,9.233139991760254,49.4737191239516,-111.31274423288467,0.5197525024414062,0.0,0.22608892619609833,0.2258937805891037,0.18888524174690247,0.18485572934150696,260.2667541503906,91938.0173921131,2025-01-01,0.0,0.0,0.0,0.34200895818074545,260.05813998267763,0.008360824135877465,0.0,0.0,0.8549374910079163,"{""type"":""MultiPoint"",""coordinates"":[]}"
